campaign_id,title,summary
CAMP-0002,Trespass Ring,"Gang 'Coastal Group 5' operating across Dharwad. Detected after 5 incidents. Recovered ₹2,232.71. Confidence 94%."
CAMP-0001,Arson Ring,"Gang 'District Crew 3' operating across Bengaluru Urban. Detected after 14 incidents. Recovered ₹26,051,590.95. Confidence 94%."
CAMP-0005,Arson Ring,"Gang 'District Crew 3' operating across Vijayanagara. Detected after 7 incidents. Recovered ₹24,630,929.80. Confidence 94%."
CAMP-0003,Rioting Ring,"Gang 'District Cell 2' operating across Dharwad. Detected after 22 incidents. Recovered ₹2,213,671.63. Confidence 94%."
CAMP-0004,Rioting Ring,"Gang 'District Cell 2' operating across Vijayanagara. Detected after 7 incidents. Recovered ₹688,009.75. Confidence 94%."
CAMP-0006,Assault Ring,"Gang 'Highway Squad 1' operating across Haveri. Detected after 20 incidents. Recovered ₹470,479.32. Confidence 94%."
CAMP-0007,Veh Theft Ring,"Gang 'Coastal Group 5' operating across Dakshina Kannada. Detected after 15 incidents. Recovered ₹13,515,248.92. Confidence 94%."
CAMP-0010,Arson Ring,"Gang 'Coastal Group 5' operating across Chamarajanagara. Detected after 8 incidents. Recovered ₹24,747,080.61. Confidence 94%."
CAMP-0009,Veh Theft Ring,"Gang 'Coastal Group 5' operating across Kodagu. Detected after 14 incidents. Recovered ₹10,247,585.13. Confidence 94%."
CAMP-0008,Trespass Ring,"Gang 'Coastal Group 5' operating across Hubballi-Dharwad. Detected after 24 incidents. Recovered ₹9,592.91. Confidence 94%."
CAMP-0011,Burglary Ring,"Gang 'District Crew 3' operating across Bengaluru Urban. Detected after 21 incidents. Recovered ₹4,626,367.15. Confidence 94%."
CAMP-0012,Theft Ring,"Gang 'District Crew 3' operating across Kalaburagi. Detected after 13 incidents. Recovered ₹377,267.35. Confidence 94%."
CAMP-0013,Trespass Ring,"Gang 'Coastal Group 5' operating across Hubballi-Dharwad. Detected after 13 incidents. Recovered ₹6,943.57. Confidence 94%."
CAMP-0014,Arson Ring,"Gang 'District Crew 3' operating across Vijayapura. Detected after 6 incidents. Recovered ₹9,451,563.49. Confidence 94%."
CAMP-0016,Arson Ring,"Gang 'District Crew 3' operating across Chikkamagaluru. Detected after 9 incidents. Recovered ₹21,419,937.76. Confidence 94%."
CAMP-0015,Rioting Ring,"Gang 'District Cell 2' operating across Bengaluru Urban. Detected after 16 incidents. Recovered ₹1,785,818.84. Confidence 94%."
CAMP-0018,Theft Ring,"Gang 'Mysuru Cell 4' operating across Mysuru. Detected after 13 incidents. Recovered ₹323,097.62. Confidence 94%."
CAMP-0019,Theft Ring,"Gang 'District Crew 3' operating across Bidar. Detected after 8 incidents. Recovered ₹169,308.06. Confidence 94%."
CAMP-0017,Trespass Ring,"Gang 'Coastal Group 5' operating across Tumakuru. Detected after 19 incidents. Recovered ₹9,387.94. Confidence 94%."
CAMP-0020,Rioting Ring,"Gang 'District Cell 2' operating across Tumakuru. Detected after 9 incidents. Recovered ₹843,150.47. Confidence 94%."
CAMP-0023,Arson Ring,"Gang 'District Crew 3' operating across Shivamogga. Detected after 12 incidents. Recovered ₹32,022,405.69. Confidence 94%."
CAMP-0021,Burglary Ring,"Gang 'District Crew 3' operating across Chikkaballapura. Detected after 13 incidents. Recovered ₹3,352,269.28. Confidence 94%."
CAMP-0024,Robbery Ring,"Gang 'Highway Squad 1' operating across Bengaluru Urban. Detected after 17 incidents. Recovered ₹1,718,134.52. Confidence 94%."
CAMP-0022,Robbery Ring,"Gang 'Highway Squad 1' operating across Bengaluru Urban. Detected after 18 incidents. Recovered ₹1,911,555.27. Confidence 94%."
CAMP-0025,Dacoity Ring,"Gang 'District Cell 2' operating across Vijayapura. Detected after 10 incidents. Recovered ₹9,589,407.95. Confidence 94%."
CAMP-0027,Theft Ring,"Gang 'District Crew 3' operating across Dakshina Kannada. Detected after 15 incidents. Recovered ₹421,821.28. Confidence 94%."
CAMP-0026,Dacoity Ring,"Gang 'District Cell 2' operating across Haveri. Detected after 10 incidents. Recovered ₹9,078,722.29. Confidence 94%."
CAMP-0028,Trespass Ring,"Gang 'Coastal Group 5' operating across Belagavi. Detected after 10 incidents. Recovered ₹7,176.87. Confidence 94%."
CAMP-0029,Trespass Ring,"Gang 'Mysuru Cell 4' operating across Udupi. Detected after 9 incidents. Recovered ₹4,728.60. Confidence 94%."
CAMP-0030,Assault Ring,"Gang 'Highway Squad 1' operating across Dharwad. Detected after 15 incidents. Recovered ₹427,209.03. Confidence 94%."
CAMP-0031,Arson Ring,"Gang 'District Crew 3' operating across Kalaburagi. Detected after 7 incidents. Recovered ₹17,122,690.47. Confidence 94%."
CAMP-0032,Theft Ring,"Gang 'Mysuru Cell 4' operating across Dharwad. Detected after 14 incidents. Recovered ₹256,947.86. Confidence 94%."
CAMP-0034,Trespass Ring,"Gang 'Mysuru Cell 4' operating across Bagalkote. Detected after 12 incidents. Recovered ₹7,713.25. Confidence 94%."
CAMP-0033,Arson Ring,"Gang 'District Crew 3' operating across Davanagere. Detected after 9 incidents. Recovered ₹19,485,805.96. Confidence 94%."
CAMP-0035,Burglary Ring,"Gang 'District Crew 3' operating across Mandya. Detected after 8 incidents. Recovered ₹2,731,291.64. Confidence 94%."
CAMP-0036,Chain Ring,"Gang 'Highway Squad 1' operating across Bengaluru Urban. Detected after 6 incidents. Recovered ₹691,069.77. Confidence 94%."
CAMP-0037,Chain Ring,"Gang 'Highway Squad 1' operating across Bengaluru Urban. Detected after 13 incidents. Recovered ₹1,829,890.02. Confidence 94%."
